1, 1
0, 1.5
-1, 1.5
-2, 1
0, 0
0, 0.5
0, 1
0, 1.5
5, 2
5, 4.5
5, 7
4, 9.5
3, 11.5
2, 13
1, 14
0, 14.5
-1, 14.5
-2, 14
-3, 13
-4, 11.5
-5, 9.5
-6, 7
-7, 4
5, 0.5
5, 3
5, 5.5
5, 8
4, 10.5
3, 12.5
2, 14
1, 15
0, 15.5
-1, 15.5
-2, 15
5, 14
5, 16.5
5, 19
5, 21.5
4, 24
3, 26
2, 27.5
1, 28.5
0, 29
-1, 29
-2, 28.5
-3, 27.5
-4, 26
-5, 24
-6, 21.5
-7, 18.5
-8, 15
-9, 11
-10, 6.5
5, 1.5
5, 4
5, 6.5
5, 9
4, 11.5
3, 13.5
2, 15
1, 16
0, 16.5
-1, 16.5
-2, 16
-3, 15
-4, 13.5
-5, 11.5
-6, 9
-7, 6
5, 2.5
5, 5
5, 7.5
4, 10
3, 12
2, 13.5
1, 14.5
0, 15
-1, 15
-2, 14.5
-3, 13.5
-4, 12
-5, 10
-6, 7.5
-7, 4.5
-8, 1
